Date, Open, High, Low, Close
05/23/25, 5781.89, 5829.51, 5767.41, 5802.82
05/22/25, 5841.26, 5878.08, 5825.82, 5842.01
05/21/25, 5910.18, 5938.37, 5830.91, 5844.61
05/20/25, 5944.66, 5953.06, 5909.26, 5940.46
05/19/25, 5902.88, 5968.61, 5895.69, 5963.60
05/16/25, 5929.09, 5958.62, 5907.36, 5958.38
05/15/25, 5869.82, 5924.21, 5865.16, 5916.93
05/14/25, 5896.74, 5906.55, 5872.11, 5892.58
05/13/25, 5854.15, 5906.64, 5845.02, 5886.55
05/12/25, 5807.20, 5845.37, 5786.08, 5844.19
05/09/25, 5679.65, 5691.69, 5644.15, 5659.91
05/08/25, 5663.60, 5720.10, 5635.38, 5663.94
05/07/25, 5614.18, 5654.73, 5578.64, 5631.28
05/06/25, 5605.87, 5649.58, 5586.04, 5606.91
05/05/25, 5655.32, 5683.38, 5634.48, 5650.38
05/02/25, 5645.88, 5700.70, 5642.28, 5686.67
05/01/25, 5625.14, 5658.91, 5597.35, 5604.14
04/30/25, 5499.44, 5581.84, 5433.24, 5569.06
04/29/25, 5508.87, 5571.95, 5505.70, 5560.83
04/28/25, 5529.22, 5553.66, 5468.64, 5528.75
04/25/25, 5489.73, 5528.11, 5455.86, 5525.21
04/24/25, 5381.38, 5489.40, 5371.96, 5484.77
04/23/25, 5395.92, 5469.69, 5356.17, 5375.86
04/22/25, 5207.67, 5309.61, 5207.67, 5287.76
04/21/25, 5232.94, 5232.94, 5101.63, 5158.20
04/17/25, 5305.45, 5328.31, 5255.58, 5282.70
04/16/25, 5335.75, 5367.24, 5220.79, 5275.70
04/15/25, 5411.99, 5450.41, 5386.44, 5396.63
04/14/25, 5441.96, 5459.46, 5358.02, 5405.97
04/11/25, 5255.56, 5381.46, 5220.77, 5363.36
04/10/25, 5353.15, 5353.15, 5115.27, 5268.05
04/09/25, 4965.28, 5481.34, 4948.43, 5456.90
04/08/25, 5193.57, 5267.47, 4910.42, 4982.77
04/07/25, 4953.79, 5246.57, 4835.04, 5062.25
04/04/25, 5292.14, 5292.14, 5069.90, 5074.08
04/03/25, 5492.74, 5499.53, 5390.83, 5396.52
04/02/25, 5580.76, 5695.31, 5571.48, 5670.97
04/01/25, 5597.53, 5650.57, 5558.52, 5633.07
03/31/25, 5527.91, 5627.56, 5488.73, 5611.85
03/28/25, 5679.20, 5685.89, 5572.42, 5580.94
03/27/25, 5695.64, 5732.28, 5670.94, 5693.31
03/26/25, 5771.66, 5783.62, 5694.41, 5712.20
03/25/25, 5775.96, 5786.95, 5760.42, 5776.65
03/24/25, 5718.08, 5775.14, 5718.08, 5767.57
03/21/25, 5630.73, 5670.84, 5603.10, 5667.56
03/20/25, 5646.92, 5711.15, 5632.33, 5662.89
03/19/25, 5632.37, 5715.33, 5622.20, 5675.29
03/18/25, 5654.53, 5654.53, 5597.76, 5614.66
03/17/25, 5635.60, 5703.52, 5631.12, 5675.12
03/14/25, 5563.85, 5645.27, 5563.85, 5638.94
03/13/25, 5594.45, 5597.78, 5504.65, 5521.52
03/12/25, 5624.84, 5642.19, 5546.09, 5599.30
03/11/25, 5603.65, 5636.30, 5528.41, 5572.07
03/10/25, 5705.37, 5705.37, 5564.02, 5614.56
03/07/25, 5726.01, 5783.01, 5666.29, 5770.20
03/06/25, 5785.87, 5812.08, 5711.64, 5738.52
03/05/25, 5781.36, 5860.59, 5742.35, 5842.63
03/04/25, 5811.98, 5865.08, 5732.59, 5778.15
03/03/25, 5968.33, 5986.09, 5810.91, 5849.72
02/28/25, 5856.74, 5959.40, 5837.66, 5954.50
02/27/25, 5981.88, 5993.69, 5858.78, 5861.57
02/26/25, 5970.87, 6009.82, 5932.69, 5956.06
02/25/25, 5982.73, 5992.65, 5908.49, 5955.25
02/24/25, 6026.69, 6043.65, 5977.83, 5983.25
02/21/25, 6114.10, 6114.82, 6008.56, 6013.13
02/20/25, 6134.50, 6134.50, 6084.59, 6117.52
02/19/25, 6117.76, 6147.43, 6111.15, 6144.15
02/18/25, 6121.60, 6129.63, 6099.51, 6129.58
02/14/25, 6115.52, 6127.47, 6107.62, 6114.63
02/13/25, 6060.59, 6116.91, 6050.95, 6115.07
02/12/25, 6025.08, 6063.00, 6003.00, 6051.97
02/11/25, 6049.32, 6076.28, 6042.34, 6068.50
02/10/25, 6046.40, 6073.38, 6044.84, 6066.44
02/07/25, 6083.13, 6101.28, 6019.96, 6025.99
02/06/25, 6072.22, 6084.03, 6046.83, 6083.57
02/05/25, 6020.45, 6062.86, 6007.06, 6061.48
02/04/25, 5998.14, 6042.48, 5990.87, 6037.88
02/03/25, 5969.65, 6022.13, 5923.93, 5994.57
01/31/25, 6096.79, 6120.91, 6030.93, 6040.53
01/30/25, 6050.75, 6086.64, 6027.46, 6071.17
01/29/25, 6057.70, 6062.83, 6012.96, 6039.31
01/28/25, 6026.97, 6074.54, 5994.63, 6067.70
01/27/25, 5969.04, 6017.17, 5962.92, 6012.28
01/24/25, 6121.43, 6128.18, 6088.74, 6101.24
01/23/25, 6076.32, 6118.73, 6074.67, 6118.71
01/22/25, 6081.39, 6100.81, 6076.13, 6086.37
01/21/25, 6014.12, 6051.51, 6006.88, 6049.24
01/17/25, 5995.40, 6014.96, 5978.44, 5996.66
01/16/25, 5963.61, 5964.69, 5930.72, 5937.34
01/15/25, 5905.21, 5960.61, 5905.21, 5949.91
01/14/25, 5859.27, 5871.92, 5805.42, 5842.91
01/13/25, 5782.02, 5838.61, 5773.31, 5836.22
01/10/25, 5890.35, 5890.35, 5807.78, 5827.04
01/08/25, 5910.66, 5927.89, 5874.78, 5918.25
01/07/25, 5993.26, 6000.68, 5890.68, 5909.03
01/06/25, 5982.81, 6021.04, 5960.01, 5975.38
01/03/25, 5891.07, 5949.34, 5888.66, 5942.47
01/02/25, 5903.26, 5935.09, 5829.53, 5868.55
12/31/24, 5919.74, 5929.74, 5868.86, 5881.63
12/30/24, 5920.67, 5940.79, 5869.16, 5906.94
12/27/24, 6006.17, 6006.17, 5932.95, 5970.84
12/26/24, 6024.97, 6049.75, 6007.37, 6037.59
12/24/24, 5984.63, 6040.10, 5981.44, 6040.04
12/23/24, 5940.25, 5978.25, 5902.57, 5974.07
12/20/24, 5842.00, 5982.06, 5832.30, 5930.85
12/19/24, 5912.71, 5935.52, 5866.07, 5867.08
12/18/24, 6047.65, 6070.67, 5867.79, 5872.16
12/17/24, 6052.55, 6057.68, 6035.19, 6050.61
12/16/24, 6063.79, 6085.19, 6059.14, 6074.08
12/13/24, 6068.17, 6078.58, 6035.77, 6051.09
12/12/24, 6074.29, 6079.68, 6051.25, 6051.25
12/11/24, 6060.15, 6092.59, 6060.15, 6084.19
12/10/24, 6057.59, 6065.40, 6029.89, 6034.91
12/09/24, 6083.01, 6088.51, 6048.63, 6052.85
12/06/24, 6081.38, 6099.97, 6079.98, 6090.27
12/05/24, 6089.03, 6094.55, 6072.90, 6075.11
12/04/24, 6069.39, 6089.84, 6061.06, 6086.49
12/03/24, 6042.97, 6052.07, 6033.39, 6049.88
12/02/24, 6040.11, 6053.58, 6035.33, 6047.15
11/29/24, 6003.98, 6044.17, 6003.98, 6032.38
11/27/24, 6014.11, 6020.16, 5984.87, 5998.74
11/26/24, 6000.03, 6025.42, 5992.27, 6021.63
11/25/24, 5992.28, 6020.75, 5963.91, 5987.37
11/22/24, 5944.36, 5972.90, 5944.36, 5969.34
11/21/24, 5940.58, 5963.32, 5887.26, 5948.71
11/20/24, 5914.34, 5920.67, 5860.56, 5917.11
11/19/24, 5870.05, 5923.51, 5855.29, 5916.98
11/18/24, 5874.17, 5908.12, 5865.95, 5893.62
11/15/24, 5912.79, 5915.32, 5853.01, 5870.62
11/14/24, 5989.68, 5993.88, 5942.28, 5949.17
11/13/24, 5985.75, 6008.19, 5965.91, 5985.38
11/12/24, 6003.60, 6009.92, 5960.08, 5983.99
11/11/24, 6008.86, 6017.31, 5986.69, 6001.35
11/08/24, 5976.76, 6012.45, 5976.76, 5995.54
11/07/24, 5947.21, 5983.84, 5947.21, 5973.10
11/06/24, 5864.89, 5936.14, 5864.89, 5929.04
11/05/24, 5722.43, 5783.44, 5722.10, 5782.76
11/04/24, 5725.15, 5741.43, 5696.51, 5712.69
11/01/24, 5723.22, 5772.52, 5723.22, 5728.80
10/31/24, 5775.34, 5775.34, 5702.86, 5705.45
10/30/24, 5832.65, 5850.94, 5811.28, 5813.67
10/29/24, 5819.68, 5847.19, 5802.17, 5832.92
10/28/24, 5833.93, 5842.92, 5823.08, 5823.52
10/25/24, 5826.75, 5862.82, 5799.98, 5808.12
10/24/24, 5817.80, 5817.80, 5784.92, 5809.86
10/23/24, 5834.50, 5834.85, 5762.41, 5797.42
10/22/24, 5832.70, 5863.04, 5821.17, 5851.20
10/21/24, 5857.82, 5866.92, 5824.79, 5853.98
10/18/24, 5859.43, 5872.17, 5846.11, 5864.67
10/17/24, 5875.62, 5878.46, 5840.25, 5841.47
10/16/24, 5816.58, 5846.52, 5808.34, 5842.47
10/15/24, 5866.74, 5870.36, 5804.48, 5815.26
10/14/24, 5829.81, 5871.41, 5829.57, 5859.85
10/11/24, 5775.09, 5822.13, 5775.09, 5815.03
10/10/24, 5778.36, 5795.03, 5764.76, 5780.05
10/09/24, 5751.80, 5796.80, 5745.02, 5792.04
10/08/24, 5719.14, 5757.60, 5714.56, 5751.13
10/07/24, 5737.80, 5739.34, 5686.85, 5695.94
10/04/24, 5737.48, 5753.21, 5702.83, 5751.07
10/03/24, 5698.19, 5718.78, 5677.37, 5699.94
10/02/24, 5698.14, 5719.63, 5674.00, 5709.54
10/01/24, 5757.73, 5757.73, 5681.28, 5708.75
09/30/24, 5726.52, 5765.14, 5703.53, 5762.48
09/27/24, 5755.36, 5763.78, 5727.34, 5738.17
09/26/24, 5762.22, 5767.37, 5721.01, 5745.37
09/25/24, 5733.65, 5741.03, 5712.06, 5722.26
09/24/24, 5727.66, 5735.32, 5698.99, 5732.93
09/23/24, 5711.90, 5725.36, 5704.22, 5718.57
09/20/24, 5709.64, 5715.14, 5674.49, 5702.55
09/19/24, 5702.63, 5733.57, 5686.42, 5713.64
09/18/24, 5641.68, 5689.75, 5615.08, 5618.26
09/17/24, 5655.51, 5670.81, 5614.05, 5634.58
09/16/24, 5615.21, 5636.05, 5604.53, 5633.09
09/13/24, 5603.34, 5636.27, 5601.65, 5626.02
09/12/24, 5557.48, 5600.71, 5535.50, 5595.76
09/11/24, 5496.42, 5560.41, 5406.96, 5554.13
09/10/24, 5490.51, 5497.91, 5441.72, 5495.52
09/09/24, 5442.07, 5484.20, 5434.49, 5471.05
09/06/24, 5507.33, 5522.47, 5402.62, 5408.42
09/05/24, 5520.08, 5546.30, 5480.54, 5503.41
09/04/24, 5506.68, 5552.99, 5503.66, 5520.07
09/03/24, 5623.89, 5623.89, 5504.33, 5528.93
08/30/24, 5612.74, 5651.37, 5581.79, 5648.40
08/29/24, 5607.30, 5646.95, 5583.71, 5591.96
08/28/24, 5624.51, 5627.03, 5560.95, 5592.18
08/27/24, 5602.89, 5631.18, 5593.48, 5625.80
08/26/24, 5639.66, 5651.62, 5602.34, 5616.84
08/23/24, 5602.49, 5641.82, 5585.16, 5634.61
08/22/24, 5637.77, 5643.22, 5560.95, 5570.64
08/21/24, 5603.09, 5632.68, 5591.57, 5620.85
08/20/24, 5602.88, 5620.51, 5585.50, 5597.12
08/19/24, 5557.23, 5608.30, 5550.74, 5608.25
08/16/24, 5530.50, 5561.98, 5525.17, 5554.25
08/15/24, 5501.13, 5546.23, 5501.13, 5543.22
08/14/24, 5442.36, 5463.22, 5415.91, 5455.21
08/13/24, 5376.98, 5436.50, 5376.98, 5434.43
08/12/24, 5351.88, 5371.20, 5324.37, 5344.39
08/09/24, 5314.66, 5358.67, 5300.84, 5344.16
08/08/24, 5252.57, 5328.03, 5233.85, 5319.31
08/07/24, 5293.13, 5330.64, 5195.54, 5199.50
08/06/24, 5206.42, 5312.34, 5193.56, 5240.03
08/05/24, 5151.14, 5250.89, 5119.26, 5186.33
08/02/24, 5376.63, 5383.89, 5302.03, 5346.56
08/01/24, 5537.84, 5566.16, 5410.42, 5446.68
07/31/24, 5505.59, 5551.51, 5493.75, 5522.30
07/30/24, 5478.73, 5489.46, 5401.70, 5436.44
07/29/24, 5476.55, 5487.74, 5444.44, 5463.54
07/26/24, 5433.67, 5488.32, 5430.70, 5459.10
07/25/24, 5428.70, 5491.59, 5390.95, 5399.22
07/24/24, 5505.84, 5508.04, 5419.98, 5427.13
07/23/24, 5565.30, 5585.34, 5550.90, 5555.74
07/22/24, 5544.54, 5570.36, 5529.04, 5564.41
07/19/24, 5543.37, 5557.50, 5497.04, 5505.00
07/18/24, 5608.56, 5614.05, 5522.81, 5544.59
07/17/24, 5610.07, 5622.49, 5584.81, 5588.27
07/16/24, 5644.09, 5669.67, 5639.02, 5667.20
07/15/24, 5638.16, 5666.94, 5614.75, 5631.22
07/12/24, 5590.76, 5655.56, 5590.44, 5615.35
07/11/24, 5635.21, 5642.45, 5576.53, 5584.54
07/10/24, 5591.26, 5635.39, 5586.44, 5633.91
07/09/24, 5584.24, 5590.75, 5574.57, 5576.98
07/08/24, 5572.75, 5583.11, 5562.51, 5572.85
07/05/24, 5537.91, 5570.33, 5531.63, 5567.19
07/03/24, 5507.44, 5539.27, 5507.42, 5537.02
07/02/24, 5461.84, 5509.69, 5458.43, 5509.01
07/01/24, 5471.08, 5479.55, 5446.53, 5475.09
06/28/24, 5488.48, 5523.64, 5451.12, 5460.48
06/27/24, 5473.59, 5490.81, 5467.54, 5482.87
06/26/24, 5460.71, 5483.14, 5451.87, 5477.90
06/25/24, 5460.73, 5472.88, 5446.56, 5469.30
06/24/24, 5459.58, 5490.66, 5447.59, 5447.87
06/21/24, 5466.77, 5478.31, 5452.03, 5464.62
06/20/24, 5499.99, 5505.53, 5455.56, 5473.17
06/18/24, 5476.15, 5490.38, 5471.32, 5487.03
06/17/24, 5431.11, 5488.50, 5420.40, 5473.23
06/14/24, 5424.08, 5432.39, 5403.75, 5431.60
06/13/24, 5441.93, 5441.93, 5402.51, 5433.74
06/12/24, 5409.13, 5447.25, 5409.13, 5421.03
06/11/24, 5353.00, 5375.95, 5327.25, 5375.32
06/10/24, 5341.22, 5365.79, 5331.52, 5360.79
06/07/24, 5343.81, 5375.08, 5331.33, 5346.99
06/06/24, 5357.80, 5362.35, 5335.36, 5352.96
06/05/24, 5314.48, 5354.16, 5297.64, 5354.03
06/04/24, 5278.24, 5298.80, 5257.63, 5291.34
06/03/24, 5297.15, 5302.11, 5234.32, 5283.40
